unique_id,cell_phone_number,first_name,last_name,date_of_birth,sim_activation_date,region,source_system_name,is_master_record
1,0701302724,Sibonelo,Jiyane,1965-05-31,2024-01-10,Johannesburg,VMobile,1
2,0702088773,Gugulethu,Dimbani,1976-11-17,2024-11-15,Pretoria,VMobile,1
3,0702970958,Nokulunga,Mhlungu,1977-03-11,2025-04-16,West Rand,VMobile,1
4,0703320064,Owethu,Khanyile,1997-07-11,2024-04-10,Port Elizabeth,VMobile,1
5,0704131178,Lindsay,Blair,1976-01-31,2024-09-22,Cape Town,VMobile,1
6,0704753382,Nomathalente,Shoba,1962-09-06,2024-08-06,Port Elizabeth,VMobile,1
7,0705752990,Andrea,Calderon,1981-09-06,2023-08-02,Durban,VMobile,1
8,0706327368,Henry,Smith,1949-02-01,2024-06-24,Pretoria,VMobile,1
9,0706833765,Michael,Galloway,1994-06-29,2025-01-14,Witbank,VMobile,1
10,0707347477,David,Nielsen,1944-12-14,2023-08-24,Port Elizabeth,VMobile,1
11,0707848987,Nicole,Ward,1952-09-04,2024-10-21,Pietermaritzburg,VMobile,1
12,0709050860,Andile,Mangethe,2002-07-30,2024-12-01,Port Elizabeth,VMobile,1
13,0709367729,Carlos,Johnson,1962-01-28,2024-02-02,Johannesburg,VMobile,1
14,0710091970,Londiwe,Mabhoko,1940-12-01,2024-05-09,Cape Town,VMobile,1
15,0711214656,Lungile,Shozi,1970-11-09,2023-09-10,Benoni,VMobile,1
16,0711572067,Mitchell,Clark,1957-10-04,2024-10-04,Polokwane,VMobile,1
17,0711810165,Thando,Vilakazi,1962-07-01,2024-08-23,Johannesburg,VMobile,1
18,0712305098,William,Wilson,1941-10-10,2024-05-29,Bloemfontein,VMobile,1
19,0713173581,Julia,Howard,1944-03-06,2025-05-13,Ekurhuleni,VMobile,1
20,0714005115,Gugu,Gcaleka,1950-05-10,2024-03-29,Nelspruit,VMobile,1
21,0714271871,Patrick,Ferrell,1975-08-07,2025-04-02,Kimberley,VMobile,1
22,0716808757,Guy,Kelly,1973-07-25,2023-11-05,Rustenburg,VMobile,1
23,0717893653,Simphiwe,Nondlela,2002-12-30,2024-07-11,Soshanguve,VMobile,1
24,0718448667,Michael,Cooper,1957-08-04,2023-10-28,Durban,VMobile,1
25,0719118275,Nomthandazo,Mbuyise,1940-04-01,2023-11-01,Ekurhuleni,VMobile,1
26,0719729993,Hannah,Young,1983-05-04,2024-08-28,Johannesburg,VMobile,1
27,0723956054,Thuthukile,Nyambose,1976-09-03,2024-08-05,Bloemfontein,VMobile,1
28,0724778385,Gugulethu,Hlophe,1961-02-08,2023-08-20,Johannesburg,VMobile,1
29,0727400477,Ruth,Griffiths,1990-01-20,2025-03-21,Pretoria,VMobile,1
30,0729448431,Bhekizizwe,Mbokazi,1998-03-02,2023-08-04,Pretoria,VMobile,1
31,0729675831,Nomagugu,Nkomo,1990-07-02,2024-09-06,West Rand,VMobile,1
32,0729817935,Victor,Watts,1992-05-25,2025-04-26,Cape Town,VMobile,1
33,0730744349,Joshua,Booth,1991-03-25,2024-05-31,Cape Town,VMobile,1
34,0732045020,Mandlakhe,Gotsholo,1994-07-30,2024-03-27,Welkom,VMobile,1
35,0732577687,Musa,Jibela,2003-11-26,2024-06-25,Witbank,VMobile,1
36,0733191788,Musa,Nodlomo,1999-10-20,2025-06-01,Soshanguve,VMobile,1
37,0734011187,Nobantu,Duze,1967-07-27,2025-04-02,Krugersdorp,VMobile,1
38,0734762586,Mandlakhe,Biyase,1970-10-11,2024-12-25,Durban,VMobile,1
39,0735515302,Simphiwe,Ludonga,1943-01-13,2023-08-11,Rustenburg,VMobile,1
40,0736548736,Sandra,Harper,1988-09-23,2023-07-23,Pretoria,VMobile,1
41,0736988792,Hannah,Marquez,1966-09-29,2024-05-24,West Rand,VMobile,1
42,0738031248,Mandla,Gambu,1984-08-03,2023-12-05,Johannesburg,VMobile,1
43,0738452446,Mthokozisi,Ximba,1998-12-10,2025-03-08,Pretoria,VMobile,1
44,0739126870,Nancy,Baker,1973-08-28,2024-12-19,West Rand,VMobile,1
45,0739493210,Gregory,Robinson,1997-10-18,2024-01-05,Cape Town,VMobile,1
46,0740348711,Olwethu,Mnomiya,1941-05-25,2023-09-25,Durban,VMobile,1
47,0740837531,Chelsea,Jackson,1989-03-17,2023-09-13,Durban,VMobile,1
48,0743941564,Sibonelo,Ntombela,1968-05-08,2025-01-21,Durban,VMobile,1
49,0744810767,Nomalanga,Ndima,2002-08-22,2024-11-13,Pretoria,VMobile,1
50,0745858892,Nhlanhla,Mzizi,2006-04-08,2024-07-02,Ekurhuleni,VMobile,1
51,0746545449,Gugu,Mthonti,1981-09-06,2024-05-26,Pretoria,VMobile,1
52,0747009358,Teresa,Hurst,1998-03-25,2024-09-14,Cape Town,VMobile,1
53,0748023717,Sibusisiwe,Mazibuko,1943-06-18,2025-06-13,Vereeniging,VMobile,1
54,0749758825,Nokulunga,Gedeza,2000-10-23,2025-01-11,Johannesburg,VMobile,1
55,0750688826,Thabisile,Gabhisa,2000-09-08,2023-09-30,Pretoria,VMobile,1
56,0752176619,Nonjabulo,Bayeni,2004-07-01,2024-11-21,Durban,VMobile,1
57,0753154430,Mark,Davies,1947-05-22,2023-10-02,Pretoria,VMobile,1
58,0754907568,Bhekisisa,Sokhela,1977-10-16,2024-09-27,Vereeniging,VMobile,1
59,0755830723,Trevor,Campos,1998-03-10,2024-07-29,Johannesburg,VMobile,1
60,0756759873,Mlungisi,Vundla,1958-07-05,2024-10-06,Newcastle,VMobile,1
61,0757293964,Nobuhle,Mgilija,1952-09-04,2023-08-08,Ekurhuleni,VMobile,1
62,0758159426,Rachel,Hayes,1956-06-17,2024-05-06,West Rand,VMobile,1
