cell_phone_number,first_name,last_name,date_of_birth,sim_activation_date,region,source_system_name
0700408017,Roger,Pritchard,1998-12-17,2024-12-23,Port Elizabeth,BlueMobile
0700498064,Sithembiso,Sabelo,1961-01-02,2023-10-05,Cape Town,BlueMobile
0700536653,Thabani,Phewa,1960-10-20,2025-06-03,Soshanguve,BlueMobile
0700594567,Donald,Lowe,NULL,2023-07-20,Ekurhuleni,ArrowMobile
0701302724,Sibonelo,Jiyane,1965-05-31,2024-01-10,Johannesburg,VMobile
0701422836,Erin,Carlson,1965-10-10,2024-10-09,Soshanguve,BlueMobile
0701525711,Sibongile,Gxabhashe,NULL,2023-07-17,Welkom,ArrowMobile
0702088773,Gugulethu,Dimbani,1976-11-17,2024-11-15,Pretoria,VMobile
0702126483,Margaret,Wright,1971-06-11,2023-11-22,Cape Town,BlueMobile
0702796440,Lewis,Evans,NULL,2024-12-05,Pietermaritzburg,ArrowMobile
0702970958,Nokulunga,Mhlungu,1977-03-11,2025-04-16,West Rand,VMobile
0702983213,Bandile,Kweyama,2002-08-18,2024-02-26,Johannesburg,BlueMobile
0703027009,Luyanda,Madinane,NULL,2024-06-29,Cape Town,ArrowMobile
0703320064,Owethu,Khanyile,1997-07-11,2024-04-10,Port Elizabeth,VMobile
0703402404,Nomasonto,Ndandali,1970-10-25,2024-02-05,Johannesburg,BlueMobile
0703678152,Busisiwe,Hadebe,NULL,2025-02-07,Boksburg,ArrowMobile
0704131178,Lindsay,Blair,1976-01-31,2024-09-22,Cape Town,VMobile
0704465602,Johw,Tran,2003-09-22,2024-09-08,Tshwane,BlueMobile
0704552601,Jill,Young,1990-09-09,2025-02-24,Johannesburg,BlueMobile
0704702209,Andile,Sangweni,NULL,2025-05-02,Johannesburg,ArrowMobile
0704753382,Nomathalente,Shoba,1962-09-06,2024-08-06,Port Elizabeth,VMobile
0705295490,Thabisile,Mtolo,1984-02-22,2025-01-24,Cape Town,BlueMobile
0705723746,Bandile,Ngungunyana,NULL,2023-11-29,Soshanguve,ArrowMobile
0705752990,Andrea,Calderon,1981-09-06,2023-08-02,Durban,VMobile
0705781665,Zinhle,Dumisa,1980-03-05,2023-09-29,Cape Town,BlueMobile
0705989494,Thembeka,Sontuli,NULL,2024-10-27,Pretoria,ArrowMobile
0706327368,Henry,Smith,1949-02-01,2024-06-24,Pretoria,VMobile
0706347171,Nozizwe,Hlela,2006-02-21,2024-09-29,Ekurhuleni,BlueMobile
0706374564,Bhekisisa,Ndiyema,NULL,2025-03-31,West Rand,ArrowMobile
0706833765,Michael,Galloway,1994-06-29,2025-01-14,Witbank,VMobile
0706908401,Siphesihle,Dinabantu,2005-11-10,2025-01-02,Johannesburg,BlueMobile
0707033903,Sibusisiwe,Mtolo,NULL,2024-08-11,Ekurhuleni,ArrowMobile
0707347477,David,Nielsen,1944-12-14,2023-08-24,Port Elizabeth,VMobile
0707578628,Thembile,Madonsela,1941-04-17,2024-09-29,Durban,BlueMobile
0707724345,Donald,Taylor,NULL,2024-01-12,Pietermaritzburg,ArrowMobile
